Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Year,Month,Day,DayOfWeek
2003-06-20,Onion,23,Bhagalpur,FAQ,Bhagalpur,540,460,515,Bihar,Pusa-Red,2003,6,20,4
2003-06-20,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6120,5700,5750,Bihar,Other,2003,6,20,4
2003-06-20,Wheat,1,Bhagalpur,FAQ,Bhagalpur,760,570,660,Bihar,Deshi,2003,6,20,4
2003-06-20,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,740,505,530,Bihar,Paddy fine,2003,6,20,4
2003-06-20,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2060,1980,2025,Bihar,Desi (F.A.Q. Split),2003,6,20,4
2003-06-20,Potato,24,Bhagalpur,FAQ,Bhagalpur,470,365,400,Bihar,Desi,2003,6,20,4
2003-06-20,Rice,3,Bhagalpur,FAQ,Bhagalpur,1130,975,1010,Bihar,Medium,2003,6,20,4
2003-06-21,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1890,1725,1825,Bihar,Other,2003,6,21,5
2003-06-21,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2050,1985,2025,Bihar,Desi (F.A.Q. Split),2003,6,21,5
2003-06-21,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,735,500,530,Bihar,Paddy fine,2003,6,21,5
2003-06-21,Onion,23,Bhagalpur,FAQ,Bhagalpur,540,460,515,Bihar,Pusa-Red,2003,6,21,5
2003-06-21,Wheat,1,Bhagalpur,FAQ,Bhagalpur,740,575,660,Bihar,Deshi,2003,6,21,5
2003-06-21,Rice,3,Bhagalpur,FAQ,Bhagalpur,1120,980,1010,Bihar,Medium,2003,6,21,5
2003-06-21,Potato,24,Bhagalpur,FAQ,Bhagalpur,475,370,400,Bihar,Desi,2003,6,21,5
2003-06-21,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2680,2520,2600,Bihar,Arhar Dal(Tur),2003,6,21,5
2003-06-21,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,1990,1875,1900,Bihar,Masoor Gola,2003,6,21,5
2003-06-24,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2525,2600,Bihar,Arhar Dal(Tur),2003,6,24,1
2003-06-24,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6075,5665,5700,Bihar,Other,2003,6,24,1
2003-06-24,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,725,510,530,Bihar,Paddy fine,2003,6,24,1
2003-06-24,Rice,3,Bhagalpur,FAQ,Bhagalpur,1125,990,1015,Bihar,Medium,2003,6,24,1
2003-06-24,Onion,23,Bhagalpur,FAQ,Bhagalpur,560,480,530,Bihar,Pusa-Red,2003,6,24,1
2003-06-24,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2050,1985,2025,Bihar,Desi (F.A.Q. Split),2003,6,24,1
2003-06-24,Wheat,1,Bhagalpur,FAQ,Bhagalpur,765,575,665,Bihar,Deshi,2003,6,24,1
2003-06-24,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2015,1880,1900,Bihar,Masoor Gola,2003,6,24,1
2003-06-24,Potato,24,Bhagalpur,FAQ,Bhagalpur,485,380,410,Bihar,Desi,2003,6,24,1
2003-06-25,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6075,5665,5700,Bihar,Other,2003,6,25,2
2003-06-25,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2015,1885,1900,Bihar,Masoor Gola,2003,6,25,2
2003-06-25,Rice,3,Bhagalpur,FAQ,Bhagalpur,1120,990,1015,Bihar,Medium,2003,6,25,2
2003-06-25,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1890,1725,1825,Bihar,Other,2003,6,25,2
2003-06-25,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,720,510,530,Bihar,Paddy fine,2003,6,25,2
2003-06-25,Potato,24,Bhagalpur,FAQ,Bhagalpur,485,385,410,Bihar,Desi,2003,6,25,2
2003-06-25,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2050,1990,2025,Bihar,Desi (F.A.Q. Split),2003,6,25,2
2003-06-25,Onion,23,Bhagalpur,FAQ,Bhagalpur,560,485,535,Bihar,Pusa-Red,2003,6,25,2
2003-06-25,Wheat,1,Bhagalpur,FAQ,Bhagalpur,760,580,665,Bihar,Deshi,2003,6,25,2
2003-06-25,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2530,2600,Bihar,Arhar Dal(Tur),2003,6,25,2
2003-06-26,Wheat,1,Bhagalpur,FAQ,Bhagalpur,760,600,665,Bihar,Deshi,2003,6,26,3
2003-06-26,Potato,24,Bhagalpur,FAQ,Bhagalpur,485,390,410,Bihar,Desi,2003,6,26,3
2003-06-26,Onion,23,Bhagalpur,FAQ,Bhagalpur,560,490,540,Bihar,Pusa-Red,2003,6,26,3
2003-06-26,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6080,5670,5700,Bihar,Other,2003,6,26,3
2003-06-26,Rice,3,Bhagalpur,FAQ,Bhagalpur,1170,1000,1015,Bihar,Medium,2003,6,26,3
2003-06-26,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2050,1990,2030,Bihar,Desi (F.A.Q. Split),2003,6,26,3
2003-06-26,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2015,1885,1900,Bihar,Masoor Gola,2003,6,26,3
2003-06-26,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2535,2600,Bihar,Arhar Dal(Tur),2003,6,26,3
2003-06-26,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,720,515,530,Bihar,Paddy fine,2003,6,26,3
2003-06-27,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,620,510,530,Bihar,Paddy fine,2003,6,27,4
2003-06-27,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1880,1790,1825,Bihar,Other,2003,6,27,4
